trial_id,pair_id,condition,target_word,clue_giver_id,attempt_idx,n_attempts,start,end,duration,n_points,dt,trial_threshold,trial_recurrence_rate,RR,DET,LAM,L_MAX
116_216_35_1_20250116_103333_flannel_ground,116_216,ground,flannel,116,1,2,1.01,16.14,15.13,454,0.0333,0.0531,0.07,0.0751,0.4329,0.5488,0.6333
116_216_35_1_20250116_103333_flannel_ground,116_216,ground,flannel,116,2,2,16.14,27.0,10.86,326,0.0333,0.0531,0.07,0.0574,0.2089,0.3258,0.2
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,1,5,2.96,4.96,2.0,60,0.0333,0.0208,0.07,0.2261,0.4644,0.6744,0.1667
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,2,5,5.96,7.96,2.0,60,0.0333,0.0208,0.07,0.25,0.4333,0.5111,0.2
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,3,5,10.96,11.96,1.0,30,0.0333,0.0208,0.07,0.0689,0.0645,0.129,0.0667
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,4,5,13.96,14.96,1.0,30,0.0333,0.0208,0.07,0.0422,0.0,0.1053,0.0
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,5,5,19.4,24.4,5.0,151,0.0333,0.0208,0.07,0.0235,0.0636,0.2187,0.1
116_216_37_1_20250116_103447_beauty_ground,116_216,ground,beauty,116,1,1,1.14,10.79,9.65,289,0.0333,0.0369,0.07,0.1105,0.5498,0.6623,0.8667
116_216_38_1_20250116_103502_coffee_ground,116_216,ground,coffee,116,1,2,0.91,6.57,5.66,170,0.0333,0.0869,0.07,0.0818,0.2699,0.3794,0.1667
116_216_38_1_20250116_103502_coffee_ground,116_216,ground,coffee,116,2,2,8.57,10.57,2.0,60,0.0333,0.0869,0.07,0.0983,0.1864,0.3814,0.1
