trial_id,attempt_idx,start,end,duration,wrist_RR,wrist_DET,wrist_LAM,wrist_L_MAX,wrist_n_points,wrist_emb_dim,wrist_emb_delay,env_RR,env_DET,env_LAM,env_L_MAX,env_n_points,env_emb_dim,env_emb_delay,pair_id,condition,target_word,clue_giver_id,n_attempts,guesser_id,guessed,guess_time,n_turntakes,is_last_attempt
103_203_52_1_20250113_154037_zipper_board,2,12.78,21.61,8.83,0.0996,0.3339,0.569,0.4667,133.0,8.0,10.0,0.0276,0.3249,0.6697,0.216,246,8,13,103_203,board,zipper,203,5,103.0,False,,9,False
103_203_52_1_20250113_154037_zipper_board,3,21.61,39.19,17.58,0.0678,0.4534,0.6978,0.6,263.0,8.0,10.0,0.0672,0.6422,0.813,0.864,488,8,13,103_203,board,zipper,203,5,103.0,False,,9,False
103_203_52_1_20250113_154037_zipper_board,4,42.19,46.73,4.54,0.08,0.373,0.673,0.2667,68.0,8.0,10.0,0.0375,0.4165,0.7124,0.18,127,8,13,103_203,board,zipper,203,5,103.0,False,,9,False
103_203_52_1_20250113_154037_zipper_board,5,46.73,55.36,8.63,0.0755,0.4577,0.7539,0.5333,130.0,8.0,10.0,0.0929,0.6687,0.8836,0.432,239,8,13,103_203,board,zipper,203,5,103.0,False,,9,True
103_203_53_1_20250113_154055_river_board,1,1.39,5.39,4.0,0.1135,0.5569,0.7625,0.5667,120.0,8.0,7.0,0.085,0.9792,0.999,3.996,667,8,41,103_203,board,river,203,1,103.0,True,5.28,0,True
103_203_54_1_20250113_154107_music_board,1,1.23,9.23,8.0,0.0752,0.6169,0.8485,0.5333,202.0,8.0,12.0,0.0577,0.9824,0.9985,7.998,1334,8,26,103_203,board,music,203,1,103.0,True,8.82,0,True
108_208_12_1_20250114_162456_flower_ground,1,1.62,4.02,2.4,0.1964,0.7308,0.8939,2.3667,72.0,8.0,8.0,0.0321,0.89,1.0,2.392,300,8,21,108_208,ground,flower,108,2,208.0,False,,2,False
108_208_12_1_20250114_162456_flower_ground,2,5.78,12.6,6.82,0.0458,0.4748,0.7786,0.6333,185.0,8.0,8.0,0.0341,0.9481,0.9945,6.808,852,8,21,108_208,ground,flower,108,2,208.0,False,,2,True
108_208_13_1_20250114_162512_traffic_ground,1,1.17,12.61,11.44,0.0531,0.3652,0.663,0.2333,343.0,8.0,8.0,0.0554,0.9746,0.9946,11.432,1430,8,24,108_208,ground,traffic,108,1,208.0,True,8.97,0,True
108_208_14_1_20250114_162535_zipper_ground,1,0.91,20.33,19.42,0.0539,0.683,0.8175,3.2667,557.0,8.0,8.0,0.0718,0.9481,0.9831,19.104,1593,8,16,108_208,ground,zipper,108,1,,False,,0,True
108_208_15_1_20250114_162542_gravy_ground,1,1.01,6.01,5.0,0.0408,0.6058,0.7643,0.8,139.0,8.0,6.0,0.0484,0.982,0.9997,4.996,1250,8,34,108_208,ground,gravy,108,1,,False,,0,True
108_208_16_1_20250114_162559_siren_ground,1,1.17,14.17,13.0,0.0675,0.7886,0.8788,3.4,371.0,8.0,10.0,0.0542,0.9823,0.9975,12.992,1625,8,21,108_208,ground,siren,108,1,208.0,True,13.8,0,True
108_208_17_1_20250114_162610_cherry_ground,1,1.07,9.07,8.0,0.0498,0.5789,0.8179,0.3333,184.0,8.0,11.0,0.06,0.9814,0.9979,7.71,1286,8,23,108_208,ground,cherry,108,1,208.0,False,,1,True
